"job","firm","functional_area","type"
"Analyst","Enfuse Group","Digital","Job"
"Analyst, satellite and space markets","Analysys Mason","Strategy","Job"
"Business Development Manager UK","COMATCH","Sales","Job"
"HR Manager","BearingPoint","Human Resources","Job"
"Internship / Work Placement","Skarbek Associates","Marketing","Internship"
"Consultant Treasury Technology","Zanders","Corporate Finance","Job"
"Consultant Roles (at all levels) – IT Advisory","Mason Advisory","Digital","Job"
"Technical Web Analyst","Digital Power","Digital","Job"
"Senior Consultant Asset Management","Sionic","Corporate Finance","Job"
"Independent Consultant","dss+","Sustainability","Job"
"Analyst","Change Management Group","Process Management","Job"
"Senior Python Specialist","Valcon","Software","Job"
"","Alvarez & Marsal","Management","Job"
"Management Consultants","Collinson Grant","Process Management","Job"
"Senior Consultant | Energy & Natural Resources | Strategic Communications","FTI Consulting","Unknown","Job"
"Junior Associate","McKinsey & Company","Strategy","Job"
"Director - Supply Chain Strategy & Transformation","Capgemini Invent","Strategy","Job"
"Strategy Director","The Upside","Strategy","Job"
"Independent Consultants","Fairgrove Partners","Strategy","Job"
"PMO Lead","ThreeTwoFour","Project Management","Job"
"Consultant - Procurement & Value Creation","H&Z Management Consulting","Procurement","Job"
"MM-4797; Data Analyst, S&P","B2E Consulting","Data Science","Job"
"Senior Infrastructure & Cloud Services Advisor","West Monroe","Cloud","Job"
"Business Analyst","Humatica","Data Science","Job"
"Sourcing & Commercial Role","Coeus Consulting","Project Management","Job"
"Principal Consultants","Q5","Strategy","Job"
"Manager - Technology","First Consulting","Mobile & Apps","Job"
"M&A Managing Partner UK","Marktlink","Unknown","Job"
"Intermediate Quantity Surveyor","Panoptic Consultancy Group","Project Management","Job"
"Strategy& - Strategy Senior Associate","PwC","Strategy","Job"
"AWS Principal Architect","PA Consulting","Unknown","Job"
"Director, Business Intelligence | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job"
"Senior Strategist","The Upside","Strategy","Job"
"Consultant Business & Technology","First Consulting","Digital","Job"
"Consultant","Bain & Company","Strategy","Job"
"Associate Director","Yonder Consulting","Project Management","Job"
"Consultant: Operations Performance","Ayming","Procurement","Job"
"Consultant Business & Technology","Valcon","Process Management","Job"
"Global Relationship Manager","Sionic","Sales","Job"
"MM-4810; Senior Professional Services / Consultancy Procurement Manager","B2E Consulting","Procurement","Job"
"GCP Cloud Engineer","PA Consulting","Cloud","Job"
"Technology and Architecture Roles","Coeus Consulting","Digital","Job"
"Associate Consultant","Analysys Mason","Digital","Job"
"Supply Chain Operations Analyst","BearingPoint","Supply Chain","Job"
"Manufacturing and construction consultant","Develop Consulting","Lean & SixSigma","Job"
"Manager and Senior Manager","Procura Consulting","Project Management","Job"
"Principal consultant","Change Management Group","Strategy","Job"
"Consultant","Enfuse Group","Digital","Job"
"Project Manager - Life Sciences","Genioo","Project Management","Job"
"Senior Consultant - Procurement & Value Creation","H&Z Management Consulting","Project Management","Job"
"Programme Director - Energy & Utilities","Capgemini Invent","Management","Job"
"Experienced Consultant, Mergers & Acquisitions","West Monroe","Mergers & Acquisitions","Job"
"Associate","McKinsey & Company","Strategy","Job"
"Marketing Executive/Manager","Panoptic Consultancy Group","Marketing","Job"
"Internship Business Development UK","COMATCH","Sales","Internship"
"Operational Technology Cyber Security Expert | Senior Manager | Dublin or Cork","PwC","IT Strategy","Job"
"Consulting Roles","Q5","Strategy","Job"
"Senior Manager Treasury Technology","Zanders","Corporate Finance","Job"
"Data Engineer","Digital Power","Data Science","Job"
"Marketing Assistant","ThreeTwoFour","Marketing","Job"
"Manager","CIL Management Consultants","Strategy","Job"
"Networks Consultant","PA Consulting","Unknown","Job"
"Consultant","Change Management Group","Strategy","Job"
"Consultant, Business Intelligence | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job"
"Principal Strategist","The Upside","Strategy","Job"
"Supply Chain Operations Consultant","BearingPoint","Supply Chain","Job"
"Private Markets Lead - Asset Management","Sionic","Management","Job"
"Salesforce System Administrator","Genioo","Data Science","Job"
"Business Analyst","McKinsey & Company","Strategy","Job"
"Generalist role","Coeus Consulting","Strategy","Job"
"Innovation Consultants: All levels","Ayming","Finance","Job"
"Managing Director, Mergers & Acquisitions","West Monroe","Mergers & Acquisitions","Job"
"Senior Statistical / Data Analyst","Yonder Consulting","Data Science","Job"
"Director - Digital Factory","Capgemini Invent","Digital","Job"
"Lean consultant","Develop Consulting","Lean & SixSigma","Job"
"PH-4808; Platform Engineer - AWS & Terraform","B2E Consulting","Unknown","Job"
"Data Scientist","Digital Power","Data Science","Job"
"Junior Talent Acquisition Specialist","Zanders","Recruitment","Job"
"Cyber | Incident Response - Senior Manager","PwC","Cyber Security","Job"
"Senior Consultant","Enfuse Group","Digital","Job"
"Cyber Security Consultant - Manager","ThreeTwoFour","Project Management","Job"
"Senior DevOps Specialist","Valcon","Software","Job"
"Contracts Manager","Panoptic Consultancy Group","Project Management","Job"
"Director, Research Practice","Yonder Consulting","Strategy","Job"
"Senior Consultant, Mergers & Acquisitions","West Monroe","Mergers & Acquisitions","Job"
"Senior Project Manager - Life Sciences","Genioo","Project Management","Job"
"Cyber Security Consultant","BearingPoint","Cyber Security","Job"
"Director - ER&D Strategy & Transformation (Discrete/ Process industries)","Capgemini Invent","Strategy","Job"
"Senior Consultant Treasury Technology","Zanders","Corporate Finance","Job"
"PH-4806; Senior Back End Developers","B2E Consulting","Unknown","Job"
"Senior Consultant - Cyber Security","ThreeTwoFour","Cyber Security","Job"
"Managing Consultant - Networks/Telecoms","PA Consulting","Unknown","Job"
"Customer Experience Specialist","Digital Power","CRM","Job"
"Management Consultants: All levels","Ayming","Change Management","Job"
"Deals | Forensic Accounting - Senior Manager","PwC","Forensic & Litigation","Job"
"Data Engineer","Valcon","Data Science","Job"
"Transactions Tax, Senior Consultant","FTI Consulting","Management","Job"
"MM-4817; Business Analysts, Fixed Voice IMS & Mobile","B2E Consulting","Mobile & Apps","Job"
"Tax Depreciation, Senior Consultant","FTI Consulting","Finance","Job"
"Vice President Client Services - Life Sciences","Genioo","Strategy","Job"
"Consultant Data Governance & Data Quality","Valcon","Data Science","Job"
"Accounts Receivable Specialist","Yonder Consulting","Finance","Job"
"Cyber Security Analyst","ThreeTwoFour","Risk & Compliance","Job"
"Director - Energy Transition","Capgemini Invent","Unknown","Job"
"Data Analyst","Digital Power","Data Science","Job"
"Lead Technical Reviewer","PA Consulting","Unknown","Job"
"Manager | Portfolio & Programme Management | Advisory | Dublin/Cork","PwC","Management","Job"
"Senior Business Development Manager","Ayming","Sales","Job"
"Director Client Services - Life Sciences","Genioo","Strategy","Job"
"Customer Analytics Senior Manager | Advisory | Dublin/Cork","PwC","Data Science","Job"
"Wireless Technology Intellectual Property (IP) Specialist","PA Consulting","Property Management","Job"
"Identitiy & Access Management Project Manager","ThreeTwoFour","Project Management","Job"
"Cloud Operating Model - Managing Consultant / Senior Manager (London/Manchester/Glasgow)","Capgemini Invent","Cloud","Job"
"Transactions Tax, Senior Director","FTI Consulting","Unknown","Job"
"Senior Data Principal","Valcon","Project Management","Job"
"PH-4804; Test Automation Manager, Python / Azure","B2E Consulting","Unknown","Job"
"Business Development Director","Yonder Consulting","Sales","Job"
"Associate Director, Research Practice","Yonder Consulting","Strategy","Job"
"Cloud Economics - Managing Consultant / Senior Manager (London/Manchester/Glasgow)","Capgemini Invent","Cloud","Job"
"Consultant - Valuations, Disputes and Arbitration | Economic and Financial Consulting","FTI Consulting","Unknown","Job"
"Business Analytics Engineer","Valcon","Data Science","Job"
"Cyber Security Consultant | Cyber Consulting | Dublin or Cork","PwC","Cyber Security","Job"
"PH-4779; German Speaking PMO Consultant","B2E Consulting","Unknown","Job"
"GCP Cloud Engineer","PA Consulting","Cloud","Job"
"Associate Director, Consulting Practice","Yonder Consulting","Strategy","Job"
"RE-4803; Procurement Consultant with SC Clearance","B2E Consulting","Procurement","Job"
"Cloud Strategy - Managing Consultant / Senior Manager (London/Manchester/Glasgow)","Capgemini Invent","Strategy","Job"
"Healthcare consultant","Develop Consulting","Lean & SixSigma","Job"
"Senior Analyst","CIL Management Consultants","Strategy","Job"
"Internships","Simon-Kucher","Pricing","Internship"
"Business Development Manager – R&D Incentives","Ayming","Sales","Job"
"Senior 3D/Motion Designer","Yonder Consulting","Marketing","Job"
"Associate Consultant","Bain & Company","Strategy","Job"
"Consultants and Senior Consultants","Procura Consulting","Project Management","Job"
"Marketing Executive","Genioo","Marketing","Job"
"Analyst","Enfuse Group","Digital","Job"
"Analyst, satellite and space markets","Analysys Mason","Strategy","Job"
"Business Development Manager UK","COMATCH","Sales","Job"
"HR Manager","BearingPoint","Human Resources","Job"
"Internship / Work Placement","Skarbek Associates","Marketing","Internship"
"Consultant Treasury Technology","Zanders","Corporate Finance","Job"
"Consultant Roles (at all levels) – IT Advisory","Mason Advisory","Digital","Job"
"Technical Web Analyst","Digital Power","Digital","Job"
"Senior Consultant Asset Management","Sionic","Corporate Finance","Job"
"Independent Consultant","dss+","Sustainability","Job"
"Analyst","Change Management Group","Process Management","Job"
"Senior Python Specialist","Valcon","Software","Job"
"","Alvarez & Marsal","Management","Job"
"Management Consultants","Collinson Grant","Process Management","Job"
"Senior Consultant | Energy & Natural Resources | Strategic Communications","FTI Consulting","Unknown","Job"
"Junior Associate","McKinsey & Company","Strategy","Job"
"Director - Supply Chain Strategy & Transformation","Capgemini Invent","Strategy","Job"
"Strategy Director","The Upside","Strategy","Job"
"Independent Consultants","Fairgrove Partners","Strategy","Job"
"PMO Lead","ThreeTwoFour","Project Management","Job"
"Consultant - Procurement & Value Creation","H&Z Management Consulting","Procurement","Job"
"MM-4797; Data Analyst, S&P","B2E Consulting","Data Science","Job"
"Senior Infrastructure & Cloud Services Advisor","West Monroe","Cloud","Job"
"Business Analyst","Humatica","Data Science","Job"
"Sourcing & Commercial Role","Coeus Consulting","Project Management","Job"
"Principal Consultants","Q5","Strategy","Job"
"Manager - Technology","First Consulting","Mobile & Apps","Job"
"M&A Managing Partner UK","Marktlink","Unknown","Job"
"Intermediate Quantity Surveyor","Panoptic Consultancy Group","Project Management","Job"
"Strategy& - Strategy Senior Associate","PwC","Strategy","Job"
"AWS Principal Architect","PA Consulting","Unknown","Job"
"Director, Business Intelligence | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job"
"Senior Strategist","The Upside","Strategy","Job"
"Consultant Business & Technology","First Consulting","Digital","Job"
"Consultant","Bain & Company","Strategy","Job"
"Associate Director","Yonder Consulting","Project Management","Job"
"Consultant: Operations Performance","Ayming","Procurement","Job"
"Consultant Business & Technology","Valcon","Process Management","Job"
"Global Relationship Manager","Sionic","Sales","Job"
"MM-4810; Senior Professional Services / Consultancy Procurement Manager","B2E Consulting","Procurement","Job"
"GCP Cloud Engineer","PA Consulting","Cloud","Job"
"Technology and Architecture Roles","Coeus Consulting","Digital","Job"
"Associate Consultant","Analysys Mason","Digital","Job"
"Supply Chain Operations Analyst","BearingPoint","Supply Chain","Job"
"Manufacturing and construction consultant","Develop Consulting","Lean & SixSigma","Job"
"Manager and Senior Manager","Procura Consulting","Project Management","Job"
"Principal consultant","Change Management Group","Strategy","Job"
"Consultant","Enfuse Group","Digital","Job"
"Project Manager - Life Sciences","Genioo","Project Management","Job"
"Senior Consultant - Procurement & Value Creation","H&Z Management Consulting","Project Management","Job"
"Programme Director - Energy & Utilities","Capgemini Invent","Management","Job"
"Experienced Consultant, Mergers & Acquisitions","West Monroe","Mergers & Acquisitions","Job"
"Associate","McKinsey & Company","Strategy","Job"
"Marketing Executive/Manager","Panoptic Consultancy Group","Marketing","Job"
"Internship Business Development UK","COMATCH","Sales","Internship"
"Operational Technology Cyber Security Expert | Senior Manager | Dublin or Cork","PwC","IT Strategy","Job"
"Consulting Roles","Q5","Strategy","Job"
"Senior Manager Treasury Technology","Zanders","Corporate Finance","Job"
"Data Engineer","Digital Power","Data Science","Job"
"Marketing Assistant","ThreeTwoFour","Marketing","Job"
"Manager","CIL Management Consultants","Strategy","Job"
"Networks Consultant","PA Consulting","Unknown","Job"
"Consultant","Change Management Group","Strategy","Job"
"Consultant, Business Intelligence | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job"
"Principal Strategist","The Upside","Strategy","Job"
"Supply Chain Operations Consultant","BearingPoint","Supply Chain","Job"
"Private Markets Lead - Asset Management","Sionic","Management","Job"
"Salesforce System Administrator","Genioo","Data Science","Job"
"Business Analyst","McKinsey & Company","Strategy","Job"
"Generalist role","Coeus Consulting","Strategy","Job"
"Innovation Consultants: All levels","Ayming","Finance","Job"
"Managing Director, Mergers & Acquisitions","West Monroe","Mergers & Acquisitions","Job"
"Senior Statistical / Data Analyst","Yonder Consulting","Data Science","Job"
"Director - Digital Factory","Capgemini Invent","Digital","Job"
"Lean consultant","Develop Consulting","Lean & SixSigma","Job"
"PH-4808; Platform Engineer - AWS & Terraform","B2E Consulting","Unknown","Job"
"Data Scientist","Digital Power","Data Science","Job"
"Junior Talent Acquisition Specialist","Zanders","Recruitment","Job"
"Cyber | Incident Response - Senior Manager","PwC","Cyber Security","Job"
"Senior Consultant","Enfuse Group","Digital","Job"
